pitch_type,pitch,release_speed,pfx_z,pfx_x,release_spin_rate,release_pos_x,release_pos_z,release_extension,delta_run_exp,swing,whiff,in_zone,out_zone,chase,xwoba,pitch_usage,whiff_rate,in_zone_rate,chase_rate,delta_run_exp_per_100,all
CH,79979,85.42982908013353,5.706733017417072,-4.720821215569087,1791.0951177816326,-0.5639121519398842,5.749085134847898,6.4573389902630725,127.47599999999998,40303,12548,31249,48730,16497,0.29260074788317003,0.10898132932176738,0.3113415874748778,0.3907150627039598,0.33853888774882,-0.15938683904524936,
CS,55,59.69454545454545,-9.438545454545455,0.3207272727272729,2083.188679245283,-0.628909090909091,6.249090909090909,5.6872727272727275,0.9189999999999999,23,3,16,39,9,0.33034811764705885,7.494433679712432e-05,0.13043478260869565,0.2909090909090909,0.23076923076923078,-1.6709090909090907,
CU,50008,79.06438369860822,-9.520069590257364,3.9449781030655706,2544.5518108146152,-0.6699762038073908,5.942439009758439,6.355957864380984,20.306,20856,6470,21691,28317,8040,0.2781218027615136,0.06814211626455624,0.31022247794399693,0.4337505999040154,0.2839283822438818,-0.04060550311950088,
EP,539,48.06103896103896,16.733209647495364,-0.004675324675324654,1175.5631970260224,-1.4978478664192951,6.639480519480519,4.544897959183674,20.621,237,7,190,349,96,0.411204802955665,0.0007344545006118183,0.029535864978902954,0.3525046382189239,0.27507163323782235,-3.825788497217068,
FA,1124,67.34012455516014,15.873309608540923,-5.607437722419929,1642.6580587711487,-1.637526690391459,6.346850533807829,4.8156810035842295,72.55199999999999,562,41,536,588,164,0.4587353147632312,0.0015315897192721406,0.07295373665480427,0.47686832740213525,0.2789115646258503,-6.454804270462633,
FC,57480,89.2964944328462,7.76066388308977,1.4836889352818372,2385.7425212553794,-0.957027139874739,5.845834725121782,6.371438528017841,-7.709000000000011,28455,6835,29622,27858,7876,0.3384247151943968,0.07832364507452193,0.24020383060973466,0.5153444676409186,0.28271950606648,0.01341162143354212,
FF,236764,94.17336281429108,15.71007408283424,-3.210088443246805,2281.241524956065,-0.8115268855353244,5.832257954156688,6.50992506512399,219.41899999999995,114145,25377,129134,107629,26174,0.35148686154470254,0.3226203810442608,0.2223224845591134,0.5454123093037793,0.24318724507335385,-0.09267413964960887,
FO,779,82.96367137355584,1.2797946084724006,-7.22772785622593,1080.4758800521513,-1.8323491655969193,5.971142490372273,6.465982028241335,-8.586,358,199,188,591,214,0.18596609722222224,0.0010614843339083607,0.5558659217877095,0.24133504492939667,0.36209813874788493,1.1021822849807446,
FS,16377,86.68590095866153,3.3525334310313246,-10.341527752335594,1355.2801350936445,-1.6981834279782624,5.8556561030713805,6.4283164201002565,-71.527,8516,2956,5975,10402,3755,0.2566408966127961,0.022315698249572816,0.34711131986848287,0.3648409354582646,0.3609882714862526,0.43675276302131033,
KC,14346,81.7786003067057,-9.240911752404852,5.54508573818486,2441.137904522262,-1.1327052837027745,5.931160602258469,6.350307048150732,38.687,6328,2108,6096,8250,2637,0.28077762231759656,0.019548208285300826,0.3331226295828066,0.424926808866583,0.31963636363636366,-0.2696709884288303,
KN,190,75.69526315789474,-1.9578947368421054,-3.509684210526316,340.7473684210526,-1.6007894736842103,5.562684210526316,6.278947368421052,2.2409999999999997,81,20,92,98,18,0.29000013888888887,0.0002588986180264295,0.24691358024691357,0.4842105263157895,0.1836734693877551,-1.179473684210526,
PO,46,90.01086956521739,14.663478260869566,-7.2443478260869565,2212.1304347826085,-1.803478260869565,5.74195652173913,6.254347826086956,0.0,0,0,0,46,0,,6.268071804850397e-05,,0.0,0.0,-0.0,
SC,84,80.30357142857143,-3.2628571428571425,-10.26,2092.9880952380954,-1.2788095238095238,6.009761904761905,6.25,2.403,38,5,38,46,11,0.27953686363636365,0.00011446044165378987,0.13157894736842105,0.4523809523809524,0.2391304347826087,-2.8607142857142858,
SI,112219,93.33330838189951,7.820528074568477,-6.983708284693323,2150.5226404751847,-0.8552164963152407,5.63932025771037,6.417926475186492,-118.54300000000003,50744,7236,62088,50131,12659,0.3532427340209616,0.15291233692793624,0.1425981396815387,0.5532752920628414,0.2525184017873172,0.10563540933353535,
SL,123978,85.21605849424898,1.5508367613608867,2.8372801626094954,2405.0625060898374,-0.9792926970914194,5.759209859813837,6.407032063756086,-194.693,59927,20315,55703,68275,21756,0.28582031243041456,0.16893543613516143,0.3389957781968061,0.4492974560002581,0.31865250823874036,0.1570383455129136,
ST,37394,81.79769749157619,1.4180948815317964,7.289045301385249,2555.2542743109866,-0.9989747018238221,5.417894849441087,6.45019426060395,-71.356,17104,5590,16348,21046,6476,0.2629177540477205,0.05095397327621212,0.32682413470533206,0.43718243568486925,0.3077069276822199,0.19082205701449428,
SV,2516,82.0683227344992,-3.2746740858505565,4.469189189189189,2537.206661316212,-0.6971343402225755,5.616995230524642,6.027374749498998,-6.016000000000001,1065,290,1148,1368,395,0.3122007491638796,0.003428362752392087,0.27230046948356806,0.4562798092209857,0.2887426900584795,0.2391096979332274,
All,733878,88.98973465580744,7.0997829061040285,-1.508100714562133,2248.5492222651783,-0.8596981242113813,5.772031672839354,6.437542235492552,24.69999999999989,355148,92236,360115,373763,106777,0.3200691720841091,1.0,0.2597114442429635,0.49070145173993496,0.2856810331680771,-0.0033656820343435675,all
